idx,smiles,atoms,regressionLogistique
2,CN1C=C(C2=NC(NC3=C(OC)C=C(F)C([N+]([O-])=O)=C3)=NC=C2)C4=C1C=CC=C4,15,0.952772948527332
3,CN1C=C(C2=NC(NC3=C(OC)C=C(N(CCN(C)C)C)C([N+]([O-])=O)=C3)=NC=C2)C4=C1C=CC=C4,15,0.9819763372839527
4,CN1C=C(C2=NC(NC3=C(OC)C=C(N(CCN(C)C)C)C(N)=C3)=NC=C2)C4=C1C=CC=C4,15,0.9709869919180274
5,CN1C=C(C2=NC(NC3=C(OC)C=C(N(CCN(C)C)C)C(NC(C=C)=O)=C3)=NC=C2)C4=C1C=CC=C4,15,0.9849787496354473
0,BrC1=CC=C([N+]([O-])=O)N=C1,15,0.935500050704317
1,O=[N+](C1=CC=C(N2CCN(CC2)C(OC(C)(C)C)=O)C=N1)[O-],15,0.7954768706644391
2,NC1=CC=C(N2CCN(CC2)C(OC(C)(C)C)=O)C=N1,15,0.9411011335371284
0,ClC1=C(Br)C=NC(Cl)=N1,15,0.9824879985937731
1,ClC1=NC(NC2CCCC2)=C(Br)C=N1,15,0.9975176878806442
2,CC(C1=C2N=C(Cl)N=C1)=CC(N2C3CCCC3)=O,15,0.9840012751244277
3,CC(C1=C(N(C2CCCC2)C3=O)N=C(Cl)N=C1)=C3Br,15,0.9850485882321182
4,CC(C1=C(N(C2CCCC2)C3=O)N=C(NC4=NC=C(N5CCN(CC5)C(OC(C)(C)C)=O)C=C4)N=C1)=C3Br,15,0.6753527606745118
5,CC(C1C=NC(NC2=NC=C(N3CCN(CC3)C(OC(C)(C)C)=O)C=C2)=NC1N(C4CCCC4)C5=O)=C5C(OCCCC)=C,15,0.07424053472194968
6,CC(C1C=NC(NC2=NC=C(N3CCNCC3)C=C2)=NC1N(C4CCCC4)C5=O)=C5C(C)=O,15,0.004994848605829124
0,NNC1=CC=CC=C1,15,0.9788566676381354
1,CC1=C(CCN)C2=C(N1)C=CC=C2,15,0.9805792335504756
2,CC1=C(CCNCC2=CC=C(/C=C/C(OC)=O)C=C2)C3=C(N1)C=CC=C3,15,0.9853829356255966
3,CC1=C(CCNCC2=CC=C(/C=C/C(NO)=O)C=C2)C3=C(N1)C=CC=C3,15,0.9916214114301861
0,NC1=CN=C([N+]([O-])=O)C=C1,15,0.5023925833717942
1,NC1=CN=C(N2C[C@@H](C)O[C@@H](C)C2)C=C1,15,0.6956054294883144
2,CC1=C(Br)C=CC=C1C(NC2=CN=C(N3C[C@@H](C)O[C@@H](C)C3)C=C2)=O,15,0.6992001493679268
3,CC(/C(C(NC1=CN=C(N2C[C@@H](C)O[C@@H](C)C2)C=C1)=O)=C)=C(C3=CC=C(OC(F)(F)F)C=C3)/C,15,0.9261288316594841
